iter	Passed	Remaining
462	758	880
463	760	878
464	761	875
465	762	873
466	763	871
467	764	869
468	765	866
469	766	864
470	767	862
471	768	859
472	769	857
473	770	855
474	771	852
475	772	850
476	773	848
477	775	846
478	776	844
479	778	842
480	779	840
481	780	838
482	781	836
483	782	834
484	783	832
485	785	830
486	786	828
487	787	826
488	789	825
489	791	823
490	792	821
491	793	819
492	794	817
493	795	815
494	796	813
495	797	810
496	798	808
497	799	806
498	800	803
499	801	801
500	802	799
501	804	798
502	806	796
503	807	794
504	808	792
505	809	790
506	810	788
507	811	786
508	812	784
509	814	782
510	815	780
511	818	779
512	819	778
513	821	776
514	822	774
515	823	772
516	824	770
517	825	768
518	826	766
519	828	764
520	829	762
521	832	762
522	833	760
523	834	758
524	835	756
525	837	754
526	838	752
527	839	750
528	840	748
529	841	746
530	842	744
531	843	742
532	845	741
533	846	739
534	848	737
535	849	735
536	850	733
537	851	731
538	852	729
539	853	727
540	854	724
541	855	723
542	857	721
543	858	719
544	860	718
545	861	716
546	862	714
547	863	712
548	865	710
549	866	708
550	867	706
551	868	705
552	870	703
553	871	701
554	872	699
555	873	697
556	875	695
557	876	694
558	877	692
559	878	690
560	879	688
561	880	686
562	881	684
563	882	682
564	884	681
565	885	679
566	886	677
567	888	675
568	889	673
569	890	672
570	892	670
571	893	668
572	894	666
573	895	664
574	896	662
575	897	660
576	898	659
577	900	657
578	901	655
579	902	653
580	903	651
581	904	649
582	906	648
583	907	646
584	908	644
585	909	642
586	910	640
587	911	638
588	912	636
589	913	635
590	915	633
591	916	631
592	917	629
593	918	627
594	919	626
595	920	624
596	921	622
597	923	620
598	924	618
599	925	617
600	926	615
601	927	613
602	928	611
603	929	609
604	931	608
605	932	606
606	934	604
607	935	602
608	936	601
609	938	599
610	939	598
611	941	596
612	942	594
613	944	593
614	946	592
615	947	590
616	948	589
617	950	587
618	952	586
619	953	584
620	954	582
621	955	580
622	956	579
623	958	577
624	959	575
625	961	574
626	962	572
627	963	570
628	964	568
629	965	567
630	966	565
631	967	563
632	968	561
633	970	560
634	971	558
635	972	556
636	973	554
637	974	553
638	976	551
639	977	549
640	978	548
641	979	546
642	980	544
643	981	542
644	982	540
645	983	539
646	984	537
647	986	535
648	987	534
649	988	532
650	990	531
651	992	529
652	993	527
653	994	526
654	995	524
655	996	522
656	997	520
657	998	518
658	999	517
659	1000	515
660	1003	514
661	1004	512
662	1005	510
663	1006	509
664	1007	507
665	1008	505
666	1009	503
667	1010	502
668	1011	500
669	1012	498
670	1014	497
671	1016	496
672	1017	494
673	1019	492
674	1020	491
675	1020	489
676	1021	487
677	1022	485
678	1023	483
679	1024	481
680	1025	480
681	1025	478
682	1026	476
683	1027	474
684	1028	473
685	1029	471
686	1031	470
687	1032	468
688	1033	466
689	1034	464
690	1035	463
691	1036	461
692	1037	459
693	1038	458
694	1039	456
695	1040	454
696	1041	452
697	1042	451
698	1043	449
699	1045	448
700	1046	446
701	1047	444
702	1048	443
703	1049	441
704	1050	439
705	1051	438
706	1052	436
707	1053	434
708	1054	432
709	1055	431
710	1057	429
711	1058	428
712	1059	426
713	1061	425
714	1062	423
715	1063	421
716	1063	419
717	1064	418
718	1065	416
719	1066	414
720	1067	413
721	1068	411
722	1069	409
